channel-uf,channel-city,channel-network,channel-name,channel-codec,channel-resolution,tvg-id,tvg-name,url-tvg,tvg-language,tvg-country,tvg-logo,group-title,shift,audio-track,aspect-ratio,subtitles,background,url
SP,São Paulo,Record News,Record News SP,h264,1080,RecordNews.br(m3u4u),Record News SP,http://m3u4u.com/epg/68m7n4xmj4szww5n1gek,Portuguese,BR,,Notícias,-3,por,16:9,por,#000000,https://www.youtube.com/watch?v=eFiNz4ZlWA0
SP,São Paulo,RecordTV,RecordTV São Paulo,h264,1080,RecordTVSaoPaulo.br(m3u4u),RecordTV São Paulo,http://m3u4u.com/epg/68m7n4xmj4szww5n1gek,Portuguese,BR,,Geral,-3,por,16:9,por,#000000,https://playplusspo-lh.akamaihd.net/i/pp_sp@350176/master.m3u8
SP,São Paulo,Rede Legislativa,Rede ALESP,h264,1080,TVALESP.br(m3u4u),Rede ALESP,http://m3u4u.com/epg/68m7n4xmj4szww5n1gek,Portuguese,BR,,Legislativo,-3,por,16:9,por,#000000,https://www.youtube.com/user/assembleiaspconteudo/live
SP,São Paulo,Rede Legislativa,TV Câmara SP,h264,720,,TV Câmara SP,,Portuguese,BR,,Legislativo,-3,por,16:9,por,#000000,https://cdn.jmvstream.com/w/LVW-8711/ngrp:LVW8711_tG0F3TEBDL_all/playlist.m3u8
SP,São Paulo,Rede Mundial,Rede Mundial,h264,1080,,Rede Mundial,,Portuguese,BR,,Religioso,-3,por,16:9,por,#000000,https://58a4464faef53.streamlock.net/impd/ngrp:impd_all/playlist.m3u8
SP,São Paulo,SBT,SBT São Paulo,h264,1080,SBT.br(m3u4u),SBT São Paulo,http://m3u4u.com/epg/68m7n4xmj4szww5n1gek,Portuguese,BR,,Geral,-3,por,16:9,por,#000000,https://www.youtube.com/watch?v=ABVQXgr2LW4
SP,São Paulo,sem rede,Canal do Criador,h264,1080,,Canal do Criador,,Portuguese,BR,,Agro,-3,por,16:9,por,#000000,https://5f984b2feeeb4.streamlock.net/crur/smil:canaldocriador.smil/playlist.m3u8
SP,São Paulo,sem rede,Canal Rural,h264,1080,CanalRural.br(m3u4u),Canal Rural,http://m3u4u.com/epg/68m7n4xmj4szww5n1gek,Portuguese,BR,,Agro,-3,por,16:9,por,#000000,https://5f984b2feeeb4.streamlock.net/crur/smil:canalrural.smil/playlist.m3u8
SP,São Paulo,sem rede,Rede Gospel,h264,1080,RedeGospel.br(m3u4u),Rede Gospel,http://m3u4u.com/epg/68m7n4xmj4szww5n1gek,Portuguese,BR,,Religioso,-3,por,16:9,por,#000000,https://cdn.jmvstream.com/w/LVW-8719/LVW8719_AcLVAxWy5J/playlist.m3u8
SP,São Paulo,sem rede,RIT TV,h264,1080,RIT.TV.br,RIT TV,https://github.com/epgshare01/share01/blob/master/epg_ripper_BR1.xml.gz?raw=true,Portuguese,BR,,Religioso,-3,por,16:9,por,#000000,https://www.youtube.com/channel/UCA0bOG0NUfJ855eDtHSxOkw/live
SP,São Paulo,sem rede,SescTV,h264,720,SescTV.br(m3u4u),SescTV,http://m3u4u.com/epg/68m7n4xmj4szww5n1gek,Portuguese,BR,,Geral,-3,por,16:9,por,#000000,https://slbps-ml-sambatech.akamaized.net/samba-live/2472/7424/8a00fe7cc36ac263b2c3e9324497d5ff/video/0c884f97-4264-446f-abcd-03aa46089a96_index720p.m3u8
SP,São Paulo,sem rede,Terra Viva,h264,720,Terraviva.br(m3u4u),Terra Viva,http://m3u4u.com/epg/68m7n4xmj4szww5n1gek,Portuguese,BR,,Agro,-3,por,16:9,por,#000000,http://evpp.mm.uol.com.br:1935/band_live/terraviva/playlist.m3u8?
SP,São Paulo,sem rede,TopTV,h264,1080,,TopTV,,Portuguese,BR,,Geral,-3,por,16:9,por,#000000,https://cast.cdnseguro.com:19360/8092/8092.m3u8
SP,São Paulo,sem rede,TV Faap,h264,1080,,TV Faap,,Portuguese,BR,,Educativo,-3,por,16:9,por,#000000,
SP,São Paulo,sem rede,TV Mackienze,h264,480,,TV Mackienze,,Portuguese,BR,,Educativo,-3,por,16:9,por,#000000,https://player.internetaovivo.com:8443/live_tvmackenzieabr/tvmackenzieabr/playlist.m3u8
SP,São Paulo,TV Gazeta,TV Gazeta,h264,720,Gazeta.br(m3u4u),TV Gazeta,http://m3u4u.com/epg/68m7n4xmj4szww5n1gek,Portuguese,BR,,Geral,-3,por,16:9,por,#000000,
SP,Valinhos,sem rede,Rede Século 21,h264,1080,,Rede Século 21,,Portuguese,BR,,Religioso,-3,por,16:9,por,#000000,https://cdn.jmvstream.com/w/LVW-10024/ngrp:LVW10024_H3QLdAY6kx_all/playlist.m3u8
